ssignment,Organization Name,Organization Address
0021DA,Automation Products Group Inc.,1025 West 1700 North Logan Utah US 84321 
0021CE,NTC-Metrotek,"9, Nevzorovoy street Saint-Petersburg  RU 192148 "
0021C8,LOHUIS Networks,2681 TV Monster Votlaan 408 Votlaan NL 31 
0021C2,GL Communications Inc,818 West Diamond Ave Gaithersburg MD US 20878 
0021BB,"Riken Keiki Co., Ltd.", 2-7-6 Azusawa Itabashi-Ku Tokyo JP 174-8744 
0021B5,Galvanic Ltd,38 Nothumberland Road Dublin  IE 2 
0021AF,Radio Frequency Systems,Kabelkamp 20 Hannover  DE 30179 
0021B6,Triacta Power Technologies Inc.,"Box 582, 7 Mill Street Almonte Ontario CA K0A 1A0 "
0021A9,"Mobilink Telecom Co.,Ltd","292-3 Sindang-ri, Sandong-myun Gumi Gyeongbuk KR 730-853 "
0021A8,Telephonics Corporation,815 Broad Hollow Road Farmingdale New York US 11790 
00210D,SAMSIN INNOTEC,SARIYUNDONG ILSANDONG-GU GOYANG KYUNGGI KR 411530 
002141,RADLIVE,4 Hanechoshet St. Tel Aviv  IL 69710 
002137,"Bay Controls, LLC",6528 Weatherfield Ct Maumee OH US 43537 
00212D,SCIMOLEX CORPORATION,"2430, Saijou, Showa-cho Nakakoma-gun, Yamanashi  JP 409-3866 "
002133,"Building B, Inc","1000 NW 65th Street, Suite 300 Ft. Lauderdale FL US 33309 "
002121,VRmagic GmbH,Augustaanlage 32 Mannheim BW DE 68165 
002126,"Shenzhen Torch Equipment Co., Ltd.","Floor 5, Block 3, Liming Industrial District, Zhongshanyuan Road, Nanshan, Shenzhen Guangdong CN 518052 "
002257,3COM EUROPE LTD,Peoplebuilding 2 Hemel Hempstead HERTS. GB HP2 4NW 
00224E,SEEnergy Corp.,"4F, No.61, Dongsing RD. Taipei  TW 110 "
002247,"DAC ENGINEERING CO., LTD.",1-5 Oyanagi-cho Kyoto  JP 601-8128 
00223D,"JumpGen Systems, LLC",2111 Palomar Airport Rd Carlsbad CA US 92011 
002237,Shinhint Group,"Unit 1506, 15/F, Nanyang Plaza,, 57 Hung To Road,   HK  "
002238,LOGIPLUS,"1, RUE CLEMENT ADER GOSSELIES HAINAUT BE B-6041 "
002231,"SMT&C Co., Ltd.","2Fr. Haksan Bldg. 110, Gwangjang-dong, Gwangjin-gu Seoul  KR 143-802 "
00222B,"Nucomm, Inc.",101 Bilby Road Hackettstown NJ US 07840 
001EF6,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001EEA,"Sensor Switch, Inc.",900 Northrop Road Wallingford CT US 06492 
001EEF,Cantronic International Limited,"Unit 515-516, Building 15, East Wing, No 8 Science Park West Avenue, Hong Kong Science Park Phase II Shatin New Territories HK 852 "
001EDE,BYD COMPANY LIMITED,"NO.1,Baoping Road,Baolong Industrial Town,Longgang SHEN ZHEN Guangdong CN 518116 "
001EE3,"T&W Electronics (ShenZhen) Co.,Ltd","2F Baiying Building, No.19, NanhaiRd., Nanshan Dist ShenZhen GuangDong CN 518052 "
001EDD,WASKO S.A.,Berbeckiego 6 Gliwice Silesia PL 44-100 
001ED9,"Mitsubishi Precision Co.,LTd.",345 KAMIMACHIYA KAMAKURA-City KANAGAWA-Prefecture JP 247-8505 
001ED4,Doble Engineering,85 Walnut St Watertown MA US 02472 
001ED3,"Dot Technology Int'l Co., Ltd.","Unit 1001, Fourseas Building 208-212, Nathan Road Kowloon  HK  "
001ECD,KYLAND Technology Co. LTD,"Building No.2,Shixing Avenue 30# Shijingshan District Beijing CN 100044 "
001EC6,Obvius Holdings LLC,20811 NW Cornell Road Hillsboro OR US 97124 
001F9D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001FA2,"Datron World Communications, Inc.",3030 Enterprise Court Vista California US 92081 
001F91,"DBS Lodging Technologies, LLC",21196 Limber Mission Viejo CA US 92692 
001F96,APROTECH CO.LTD,"KOLONDIGITAL TOWER ASTON 201, 505-14 SEOUL  KR KSXX 0022 "
001F90,"Actiontec Electronics, Inc",760 North Mary Ave Sunnyvale CA US 94085 
001F8F,"Shanghai Bellmann Digital Source Co.,Ltd.","404-408 Main Bd, FDUSP, No.11 Guotai Rd. Shanghai  CN 200433 "
001F85,"Apriva ISS, LLC",6900 E Camelback Rd Scottsdale AZ US 85251 
001F87,Skydigital Inc.,"#28-9 Wonhyoro1-ga, Yongsan-gu, Seoul  KR 140-846 "
001F86,digEcor,1625 N. 1100 W. Springville UT US 84663 
001F80,Lucas Holding bv,Domein 28 Gemert NB NL 5421AR 
001F3E,RP-Technik e.K.,Hermann-Staudinger-Str. 10-16 Rodgau Hessen DE 63110 
001F42,Etherstack plc,80 Abercrombie Street Chippendale NSW AU 2008 
001F39,"Construcciones y Auxiliar de Ferrocarriles, S.A.","C/ J.M. Iturrioz, 26 Beasain Guipúzcoa ES E-20200 "
001F2B,Orange Logic,"#706 AceTechnoTower 10-cha,470-5 SEOUL  KR 153-789 "
001F2C,Starbridge Networks,3265 Meridian Parkway Weston FL US 33331 
001F26,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001F1A,Prominvest,"7, Bobruiskaya ulica Saint-Petersburg North-West Federal District RU 195009 "
001EC1,3COM EUROPE LTD,Peoplebuilding 2 Hemel Hempstead HERTS. GB HP2 4NW 
001EBA,High Density Devices AS,Vestre Strandgate 26 Kristiansand  NO 4611 
001EB3,Primex Wireless,965 Wells Street Lake Geneva WI US 53147 
001EB4,UNIFAT TECHNOLOGY LTD.,"7/FLOOR, SUI HONG IND. BLDG., KWAI CHUNG N.T. HK  "
001EA8,"Datang Mobile Communications Equipment CO.,LTD","No.29,Xueyuan Rd. Beijing  CN 100083 "
001E9C,Fidustron INC,"NO.770-6, Jhongiheng Rd. Jhonghe City Taipei County TW 235 "
001E95,SIGMALINK,"DooSan VentureDigm 1028, Anyang-City Kyunggi-do KR 431-070 "
001E96,Sepura Plc,Radio House Cambridge CAMBRIDGESHIRE GB CB4 1GR 
001E8B,"Infra Access Korea Co., Ltd.","#902, Sambo Saving Bank B/D, Kwanak-gu, Seoul KR 151-830 "
001FEF,"SHINSEI INDUSTRIES CO.,LTD","4-12-15,HORIFUNE, KITA-KU, TOKOYO  JP 114-0004 "
001FE8,"KURUSUGAWA Electronics Industry Inc,.","2F, 52-5, Nogata 6chome Nakano-Ku TOKYO JP 165-0027 "
001FDC,Mobile Safe Track Ltd,Niemenkatu 73 15149 Lahti FI  
001FD7,TELERAD SA,"2, avenue de la butte aux cailles ANGLET  FR 64600 "
001FCB,NIW Solutions,P.O. Box 62 One Tree Hill South Australia AU 5114 
001F77,HEOL DESIGN,1 bd d'armor LANNION BRETAGNE FR 22300 
001F73,"Teraview Technology Co., Ltd.","23F, No. 29-5, Sec. 2, Jhongjheng E. Road, Taipei County  TW 251 "
001F6D,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001F61,Talent Communication Networks Inc.,"Rm. 910 R&F Plaza, #76, Huangpu Ave. West, Guangzhou (Canton) Guangdong Province CN 510360 "
001F66,PLANAR LLC,"32, Elkina str Chelyabinsk SU RU 454091 "
001F5A,Beckwith Electric Co.,6190 118th Ave No Largo Florida US 33773 
001F53,GEMAC Gesellschaft für Mikroelektronikanwendung Chemnitz mbH,Zwickauer Straße 227 Chemnitz Sachsen DE 09116 
001F4E,ConMed Linvatec,11311 Concept Blvd. Largo FL US 33773 
001F54,Lorex Technology Inc.,250 Royal Crest Court Markham Ontario CA L3R3S1 
001F47,MCS Logic Inc.,"6F. Samho Center B Bldg., 275-6 Seoul  KR 137-941 "
001FD2,COMMTECH TECHNOLOGY MACAO COMMERCIAL OFFSHORE LTD.,"31,TAI YIP STREET, 7/F KWUN TONG, KOWLOON, HONGKONG CN  "
001FBF,Fulhua Microelectronics Corp. Taiwan Branch,"1F, No.12, R&D Road, Hsin-Chu, 300  TW 886 "
001FAC,Goodmill Systems Ltd,Sinikalliontie 10 Espoo Uusimaa FI 02630 
00211A,LInTech Corporation,"Krasnokazarmennaya st., 12 Moscow  RU 111250 "
002113,Padtec S/A,"Road Campinas Mogi-Mirim km 118,5 Campinas São Paulo BR 13086-902 "
002114,Hylab Technology Inc.,"15F-2.,No.872,Jhongjheng Rd. Jhonghe City, Taipei TW 235 "
00210E,Orpak Systems L.T.D.,31 Lechi St Bnei - Brak  IL 51114 
00210A,byd:sign Corporation,2-10-6 Tsukiji Chuo-ku Tokyo JP 104-0045 
002104,Gigaset Communications GmbH,Frankenstrasse 2 46395 Bocholt DE  
001FFB,Green Packet Bhd,"Lot 1-4, Incubator 2, Technology Park Malaysia Kuala Lumpur Wilayah Persekutuan MY 57000 "
001FF6,PS Audio International,4826 Sterling Drive Boulder CO US 80301 
001F19,BEN-RI ELECTRONICA S.A.,POL. IND. VENTORRO DEL CANO ALCORCON MADRID ES 28925 
001F13,S.& A.S. Ltd.,Boutros Bldg. 1st bsmt Beirut  LB 2067 7808 
001F0F,Select Engineered Systems,7991 W. 26 Ave Hialeah Florida US 33016 
001EFD,Microbit 2.0 AB,Nystaden 1 KALIX  SE 95261 
001F02,Pixelmetrix Corporation Pte Ltd,31 Kaki Bukit Road 3   SG 417818 
001EF0,Gigafin Networks,19050 Pruneridge Cupertino CA US 95014 
001D2C,Wavetrend Technologies (Pty) Limited,"Wavetrend House, Building 816/3 Gauteng  ZA 2021 "
001D27,NAC-INTERCOM,AVDA. RICARDO MELLA 123-B VIGO PONTEVEDRA ES 36330 
001D18,Power Innovation GmbH,Rehland 2 Achim Niedersachsen DE 28832 
001D13,NextGTV,13F Byucksan/Kyungin Digital Valley ll Seoul  KR 153-803 
001D0C,MobileCompia,"Dongwon Bldg, 725-30, Yeoksam-dong, Gangnam-gu, Seoul  KR 135-080 "
001D06,"HM Electronics, Inc.",14110 Stowe Drive Poway CA US 92064 
001D05,Eaton Corporation,203 Cooper Circle Peachtree City GA US 30269 
001E62,Siemon,27 Siemon Company Drive Watertown CT US 06795 
001E5D,Holosys d.o.o.,Kovinska 4 Zagreb  HR 10090 
001E56,Bally Wulff Entertainment GmbH,Maybachufer 48-51 Berlin  DE 12045 
001E50,BATTISTONI RESEARCH,PARCO DONICA 56 FISCIANO SALERNO IT 84084 
001E4A,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001D85,Call Direct Cellular Solutions,"Suite 145, National Innovation Centre Eveleigh NSW AU 1430 "
001D80,"Beijing Huahuan Eletronics Co.,Ltd","No.26,Shangdi 6th St.Haidian District, Beijing  CN 100085 "
001D68,Thomson Telecom Belgium,Prins Boudewijnlaan 47 Edegem Antwerp BE B-2650 
001D6F,"Chainzone Technology Co., Ltd","Chainzone Tech. Ind Park, Nanxin 1st Rd. Foshan Guangdong CN 528200 "
001D76,Eyeheight Ltd.,"Unit 34, Park House Watford Herts GB WD18 8PH "
001D7B,"Ice Energy, Inc.",9351 Eastman Park Drive Windsor Colorado US 80550 
001D75,Radioscape PLC,1 Albany Terrace Regent's Park London GB NW1 4DS 
001D63,Miele & Cie. KG,Carl-Miele-Straße 29 Gütersloh  DE 33332 
001D5C,"Tom Communication Industrial Co.,Ltd.",1173 Nippa-choh Kohoku-ku Yokohama Kanagawa JP 223-0057 
001D55,"ZANTAZ, Inc",5758 W. Las Positas Avenue Pleasanton CA US 94588 
001DC8,"Navionics Research Inc., dba SCADAmetrics",1133 Pond Road Wildwood Missouri US 63038 
001DC1,Audinate Pty L,"Level 1, 458 Wattle St Ultimo NSW AU 2007 "
001DBB,Dynamic System Electronics Corp.,"5F,NO,9,LANE 130,SEC 1,KUANGG FU RD.SAN CHUNG CITY, Taipei Hsien TW 24158 "
001DAB,SwissQual License AG,Baarerstrasse 78 Zug Postfach CH 117 
001E86,"MEL Co.,Ltd.","Tsukagoshi 5-5-1,Warabi-shi,Saitama,Japna Warabi Saitama JP 335-0002 "
001E7F,CBM of America,1455 West Newport Center Drive Deerfield Beach Florida US 33442 
001E7A,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001E79,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001E6F,"Magna-Power Electronics, Inc.",39 Royal Road Flemington NJ US 08822 
001E70,Cobham Defence Communications Ltd,Haslingden Road Blackburn Lancashire GB BB1 2EE 
001E69,Thomson Inc.,101 West 103rd Street Indianapolis IN US 46290-1102 
001D56,Kramer Electronics Ltd.,3 Am VeOlamo Street Jerusalem  IL 95463 
001D50,SPINETIX SA,"Parc Scientifique de l'EPFL, Bâtiment C Lausanne VD CH 1015 "
001D4B,Grid Connect Inc.,1630 W. Diehl Rd Naperville IL US 60563 
001D46,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001D3F,Mitron Pty Ltd,Unit 11 Artarmon NSW AU 2065 
001D39,"MOOHADIGITAL CO., LTD",Seoul Hightech Venture Center C-307 647-26 SEOUL  KR 157-030 
001D3A,mh acoustics LLC,25A Summit Ave Summit NJ US 07901 
001D33,Maverick Systems Inc.,"908, Daerungposttower 2-cha, 182-13 Seoul  KR 152-790 "
001E09,"ZEFATEK Co.,LTD","326-4 Gasandong, Geumcheongu Seoul  KR 153-802 "
001E04,Hanson Research Corporation,9810 Variel Ave. Chatsworth CA US 91311 
001DF7,R. STAHL Schaltgeräte GmbH,am Bahnhof 30 Waldenburg Baden-Württemberg DE 74638 
001DF8,Webpro Vision Technology Corporation,"4F., No.573, Cingping Rd. Anping District  TW 708 "
001DF1,"Intego Systems, Inc.",5343 Bowden Road Jacksonville FL US 32216 
001DEA,Commtest Instruments Ltd,"Level 2, 22 Moorhouse Ave Christchurch Canterbury NZ 8243 "
001DDB,C-BEL Corporation,Futabacho 35-12 Itabashi-ku Tokyo JP 173-0011 
001DE5,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001DA4,"Hangzhou System Technology CO., LTD","ROOM A1505 HuaXing times plaza,NO 478 Wensan Road Hangzhou Zhejiang CN 310012 "
001D9F,MATT   R.P.Traczynscy Sp.J.,Polnocna 44 Koscian wielkopolskie PL PL-64000 
001D92,"MICRO-STAR INT'L CO.,LTD.","No.69,Li-De St,Jung-Ho City Taipei Hsien TW 235 "
001D91,"Digitize, Inc",158 Edison Road Lake Hopatcong New Jersey US 07849 
001D8C,La Crosse Technology LTD,2809 Losey Blvd. So. La Crosse WI US 54601 
001E39,Comsys Communication Ltd.,9 Hamenofim st. Herzelia  IL 46725 
001E34,CryptoMetrics,160 Michael Cowpland Dr Ottawa Ontario CA K2M 1P6 
001E2D,STIM,ZAC les COUSTELLIERS CASTRIES HERAULT FR 34160 
001E26,Digifriends Co. Ltd,Joyang B/D 6th Floor Seoul  KR 135-090 
001E1A,Best Source Taiwan Inc.,"2F, No.16, Lane 56, Jhongjheng W. Rd., Jhubei City, Hsinchu County TW 302 "
001E14,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001E0A,Syba Tech Limited,"RM1301, Vanta Industrial Centre, Kwai Chung  HK  "
001C61,Galaxy  Microsystems LImited,"Room 1101-03, 11/F Enterprise Square Two Kowloon Bay Kowloon HK  "
001C55,Shenzhen Kaifa Technology Co.,"7006 Caitian Road, Futian District, Shenzhen Guangdong CN 518035 "
001C5A,Advanced Relay Corporation,1896 Columbia St Eugene OR US 97403 
001C44,Bosch Security Systems BV,Kapittelweg 10 4827 HG  Breda Brabant NL 4827 
001C4B,"Gener8, Inc.",897 Independence Ave Mountain View CA US 94043 
001C38,"Bio-Rad Laboratories, Inc.",245 Winter St. Waltham MA US 02451 
001C3D,WaveStorm,Rue d'Oradour-sur-Glâne Paris ÃƒÅ½le-de-France FR 75015 
001C3F,"International Police Technologies, Inc.",4150 S. 87th E. Avenue Tulsa OK US 74145 
001C3E,ECKey Corporation,206A W James St Lancaster PA US 17603 
001C31,"Mobile XP Technology Co., LTD","Room No.2506,Tri-tower C building,No.66 Zhongguancun East Road,Haidian District Beijing  CN 100080 "
001C2C,Synapse,132 Export Circle Huntsville AL US 35806 
001CF9,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001CF3,EVS BROADCAST EQUIPMENT,Liege Science Park Ougree Liege BE 4102 
001CF4,Media Technology Systems Inc,766 Lakefield Road Westlake Village CA US 91377 
001CED,ENVIRONNEMENT SA,111 bd. Robespierre POISSY Yvelines FR 78300 
001CE3,Optimedical Systems,235 Hembree Park Drive Roswell GA US 30076 
001CDC,"Custom Computer Services, Inc.",1020 Spring City Drive Waukesha WI US 53186 
001CD0,"Circleone Co.,Ltd.","860-1,Noda Beppu-shi Ooita-ken JP 874-0016 "
001BF5,Tellink Sistemas de Telecomunicación S.L.,C/ María Tubau Nº 5 Bajo B Madrid  ES 28050 
001BF0,Value Platforms Limited,"Rm 712-713, Building 9, 5, Science Park West Ave., Shatin,  HK  "
001BE8,Ultratronik GmbH,Dornierstr. 9 Gilching  DE 822205 
001BE1,ViaLogy,2400 Lincoln Ave Altadena CA US 91001 
001BDC,"Vencer Co., Ltd.","20F-1, No.77, Sec.1, Hsin Tai Wu Rd., Hsi Chih Taipei TW 221 "
001BD5,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001BCE,Measurement Devices Ltd,Redwood House York Yorkshire GB YO266QR 
001C94,LI-COR Biosciences,4647 Superior Street Lincoln NE US 68504 
001C8E,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
001C8D,Mesa Imaging,Badenerstrasse 569 Zürich ZH CH 8048 
001C88,TRANSYSTEM INC.,"No. 1-2, Li-Hsin Rd 1, Science-Based Industrial Park Hsinchu  TW 300 "
001C83,"New Level Telecom Co., Ltd.",INNOPLEX 1-703 Seoul  KR 153-803 
001C7A,Perfectone Netware Company Ltd,"Unit 815, Sun Fung Centre, Kwai Chung  HK  "
001C7B,Castlenet Technology Inc.,"No.64, Chung-Shan Rd. Tu-Cheng City Taipei TW 236 "
001C79,Cohesive Financial Technologies LLC,200 South Wacker Dr. Chicago IL US 60606 
001C74,Syswan Technologies Inc.,2050 Beavercreek Road Oregon City Oregon US 97045 
001C6D,"KYOHRITSU ELECTRONIC INDUSTRY CO., LTD.","2-5-1, NIPPONBASHI-NISHI, OSAKA  JP 556-0004 "
001C68,"Anhui Sun Create Electronics Co., Ltd",NO.199 Xiangzhang Road Hefei Anhui CN 230088 
001CC9,"Kaise Electronic Technology Co., Ltd.","No.678, Wunsyue Rd., Zuoying District, Kaohsiung  TW 813 "
001CCA,Shanghai Gaozhi Science & Technology Development Co.,"No.283 Qin Jiang Rd. Shanghai,China Shanghai  CN 200233 "
001CBD,"Ezze Mobile Tech., Inc.","3F, Bubmusa Bldg., 151-31  Seoul KR 135-824 "
001CB8,"CBC Co., Ltd","2-15-13, Tsukishima, Chuo-ku Tokyo  JP 104-0052 "
001CAD,"Wuhan Telecommunication Devices Co.,Ltd","88 Youkeyuan Road,Hongshan District Wuhan Hubei CN 430074 "
001CAE,"WiChorus, Inc.","3590 N 1st Street, Suite 300 San Jose CA US 95134 "
001CA7,International Quartz Limited,"2nd Floor, 2, Dai Wang Street,  Hong Kong CN 852 "
001CA0,"Production Resource Group, LLC",539 Temple Hill Road New Windsor NY US 12553 
001C9B,FEIG ELECTRONIC GmbH,Lange Straße 4 Weilburg Hessen DE 35781 
001B69,Equaline Corporation,"9F, No. 234, Section 4, Cheng-De Road,  Taipei Hsien TW 25162 "
001B64,"IsaacLandKorea Co., Ltd,","Rm 608, Hangang-Hyundai-Hyel Bldg. 2-36, Seoul  KR 140-871 "
001B5D,Vololink Pty Ltd,"Level 2, 541 Blackburn Road Mount Waverley Victoria AU 3149 "
001B56,Tehuti Networks Ltd.,"1, Shenkar St. Hertzliya  IL 46105 "
001B51,Vector Technology Corp.,"No.7, Lane12, Yajou Road. Tucheng Taipei TW 236 "
001B45,"ABB AS, Division Automation Products",Bergerveien 12 Billingstad  NO NO-1375 
001B4A,"W&W Communications, Inc.",2903 Bunker Hill Lane Santa Clara CA US 95054 
001B43,"Beijing DG Telecommunications equipment Co.,Ltd","No.5 Jiangtai Road, Chaoyang District Beijing  CN 100016 "
001B3E,"Curtis, Inc.",2405 Annapolis Lane Minneapolis MN US 55441 
001B37,Computec Oy,Juholankatu 8 Kouvola Kymi FI 45200 
001B2B,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001BC9,FSN DISPLAY INC,"Baeksuk-Dong 1141-1, Ilsan Techno Town 1009 Koyang-si Kyeonggi-Do KR 410722 "
001BC2,Integrated Control Technology Limitied,11 Canaveral Drive Auckland Auckland NZ 0735 
001BBC,"Silver Peak Systems, Inc.",471 El Camino Real Santa Clara CA US 95050 
001BBD,FMC Kongsberg Subsea AS,Kirkegaardsveien 45 Kongsberg Buskerud NO 3601 
001BB3,Condalo GmbH,Kohlstatt 3 Lichtenau Bavaria DE 86706 
001BB8,BLUEWAY ELECTRONIC CO;LTD,"Workshop B,Dong Feng Village, HuiZhou GuangDong CN 516008 "
001BAC,Curtiss Wright Controls Embedded Computing,10201 Wateridge Circle San Diego CA US 92121 
001BB2,Intellect International NV,Kleine Kloosterstraat 23 Zaventem Vlaamse brabant BE 1932 
001BA5,"MyungMin Systems, Inc.","#410,Doosan Venture Dime 2-cha,1307-37 Kyungki-do  KR 431-060 "
001BA0,Awox,"93, Place Pierre Duhem, Montpellier Herault FR 34000 "
001B99,KS System GmbH,Alexanderstraße 37 Muelheim NRW DE 45472 
001C1B,Hyperstone GmbH,Line-Eid-Straße 3 Konstanz Baden-Württemberg DE 78467 
001C0F,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
001C08,"Echo360, Inc.",11955 Freedom Drive Reston VA US 20190 
001C02,Pano Logic,"2000 Seaport Drive, Suite 200 Redwood City CA US 94063 "
001C01,ABB Oy Drives,Hiomotie 13 Helsinki  FI FI-00380 
001C03,Betty TV Technology AG,Hardturmstrasse 2 Zurich  CH 80005 
001B92,l-acoustics,parc de la fontaine de jouvence marcoussis essonne FR 91462 
001B8D,"Electronic Computer Systems, Inc.",418 Donegal Drive Towson MD US 21286 
001B88,Divinet Access Technologies Ltd,"4th Floor, Media Center, Pune Maharashtra IN 411007 "
001B83,Finsoft Ltd,16-18 Hatton Garden London  GB EC1N 8AT 
001B7C,A & R Cambridge,Pembroke Avenue Cambridge CAMBS GB CB25 9QR 
001B76,"Ripcode, Inc.",1130 E. Arapaho Road Richardson TX US 75081 
001B75,Hypermedia Systems,2B Bergman St. Rehovot  IL 76705 
001B70,"IRI Ubiteq, INC.","Shinjuku-Nomura Bldg. 47F, Shinjuku-ku Tokyo JP 163-0547 "
001A18,Advanced Simulation Technology inc.,500A Huntmar Park Drive Herndon VA US 20170 
001A0A,Adaptive Micro-Ware Inc.,6917 Innovation Blvd Fort Wayne IN US 46818 
001A05,OPTIBASE LTD,7 Shankar St. Herzliya ISRAEL IL 46120 
001A03,"Angel Electronics Co., Ltd.","17, Lane 134, Shou Shan Road, Tai Shan, Taipei  TW 243 "
0019FE,"SHENZHEN SEECOMM TECHNOLOGY CO.,LTD.","Room 609,404Yannan Road ShenZhen Guangdong CN  "
0019F9,TDK-Lambda,405 Essex Road Neptune NJ US 07753 
0019ED,Axesstel Inc.,6815 Flanders Sr. San Diego CA US 92121 
0019F4,Convergens Oy Ltd,Westendintie 99 B Espoo Uusimaa FI FIN-02160 
001A79,TELECOMUNICATION TECHNOLOGIES LTD.,4D ZHUKOVA BLV. ODESSA  UA 65121 
001A99,"Smarty (HZ) Information Electronics Co., Ltd","Yonghua Industrial District,Huishen Road,Zhenlong Town HuiZhou GuangDong CN 516227 "
001A9B,ADEC & Parter AG,Staldenbachstrasse 30 Pfaeffikon ZH CH 8808 
001A94,Votronic GmbH,Saarbruecker Str. 8 St. Ingbert Saarland DE 66386 
001A83,Pegasus Technologies Inc.,108 Pawnook Farm Rd. Lenoir City TN US 37771 
001A7E,LN Srithai Comm Ltd.,"71/12 M.5, Bangna-Trad Rd, KM.52, Thakam Bangpakong Chachoengsao TH 24130 "
001AF1,Embedded Artists AB,Davidshallsgatan 16 Malmoe  SE 21145 
001AF6,"Woven Systems, Inc.",2455 Augustine Drive Santa Clara CA US 95054 
001AEC,"Keumbee Electronics Co.,Ltd.","3-26, Jangsang-dong, Sangrok-gu Ansan-si Kyungki-do KR 426-410 "
001AE0,Mythology Tech Express Inc.,"2F, No.10, Lane 235, Bao Chiao road, Taipei  TW 231 "
001AE5,Mvox Technologies Inc.,19050 Pruneridge Ave Cupertino CA US 95014 
001AD2,Eletronica Nitron Ltda,Rua Dr. Ulisses Escobar 415 Camanducaia Minas Gerais BR 37650-000 
001AD9,"International Broadband Electric Communications, Inc.",285 Dunlop Blvd. SW Huntsville AL US 35824 
001ACB,Autocom Products Ltd,"Unit 4 Tachbrook Link, Tachbrook Park Drive Warwick Warwickshire GB CV34 6RH "
001ACD,Tidel Engineering LP,2025 W Belt Line Road Suite 114 Carrollton TX US 75019 
001A46,"Digital Multimedia Technology Co., Ltd","Doorim Bldg, 3rd Fl, 164-21 Poi-Dong, Seoul Kangnam-Gu KR 135-960 "
001A3A,Dongahelecomm,"678-3,Jeil-ri,Yanggi-myun,Cheoin-gu Yongin-si Gyeonggi-do KR 449-821 "
001A3F,intelbras,rodovia br 101 km 210 sao jose sc BR 88104800 
001A41,"INOCOVA Co.,Ltd","5F SEOUL BD.736-17 Yeoksam-Dong, Kangnam-Ku SEOUL KR 135-924 "
001A2E,Ziova Coporation,"Unit 3, 7-9 Sherriffs road Lonsdale S.A. AU 5160 "
001A33,"ASI Communications, Inc.",1042 E Guadalupe Rd Tempe AZ US 85283 
001A1D,PChome Online Inc.,"11F, 105, Sec. 2, Tun-Hwa S. Rd.  Taipei TW 106 "
001A24,Galaxy Telecom Technologies Ltd,"No.25, The 1st Gaoxin Road Xi'an City Shannxi CN 710075 "
0019A5,RadarFind Corporation,"2100 Gateway Centre Blvd., Suite 150 Morrisville NC US 27560 "
0019AC,GSP SYSTEMS Inc.,"13FL, 101 Dong, Chunui Techno Park 1, Bucheon-City Gyeonggi-Do KR 420-857 "
0019B1,Arrow7 Corporation,Kamijima 3-27-7 Hamamatsu Shizuoka JP 433-8122 
00199E,Nifty,miwa4-2-22-105  Nagano JP 3800803 
0019A0,"NIHON DATA SYSTENS, INC.","6-9, Koyo-cho naka Kobe-shi Hyogo JP 658-0032 "
001994,Jorjin Technologies Inc.,"5F, No.28, Lane141, Sing-ai Rd. Taipei  TW 114 "
00198F,Alcatel Bell N.V.,Copernicuslaan 50 Antwerp  BE B-2018 
0019E8,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
0019DA,"Welltrans O&E Technology Co. , Ltd.","the 3rd Floor, building C-D, Hi-tech Digital Harbor, Guandong Industrial Park Wuhan Hubei CN 430074 "
0019DC,ENENSYS Technologies,Le Germanium RENNES Brittany FR 35700 
0019C9,S&C ELECTRIC COMPANY,1135 ATLANTIC AVE ALAMEDA CA US 94501 
0019CE,Progressive Gaming International,920 Pilot Road Las Vegas NV US 89119 
0019D5,"IP Innovations, Inc.",1517 146th Ave Dorr MI US 49323 
0019C4,Infocrypt Inc.,"711, BYUCKSAN DIGITAL VALLEY 1 212-16, Seoul  KR 152-050 "
0019BF,"Citiway technology Co.,ltd","No.2 Building,Jia 32,Beiheyan Avenue,East City Peijing  CN 100006 "
0019BD,New Media Life,"Hea Ju Bild, 5F, 837-7, Yeoksam-dong Kangnam-gu Seoul KR 135-080 "
0019B8,Boundary Devices,7200 W. Oakland Chandler AZ US 85226 
001B26,RON-Telecom ZAO,"15 A, Zarechnaya st. Trehgorny Chelyabinsk region RU 456080 "
001B1C,Coherent,1280 Blues Hills Ave. Bloomfield CT US 06002 
